diameter_mm,torque_nm,shear_stress_mpa,factor_of_safety,status
15,800,1207.2197164896359,0.12425244381873693,FAIL
15,900,1358.1221810508403,0.11044661672776616,FAIL
15,1000,1509.0246456120447,0.09940195505498955,FAIL
16,100,124.33979929054324,1.2063715789784806,FAIL
16,200,248.67959858108648,0.6031857894892403,FAIL
16,300,373.01939787162974,0.4021238596594935,FAIL
16,400,497.35919716217296,0.30159289474462014,FAIL
16,500,621.6989964527162,0.2412743157956961,FAIL
16,600,746.0387957432595,0.20106192982974674,FAIL
16,700,870.3785950338026,0.1723387969969258,FAIL
16,800,994.7183943243459,0.15079644737231007,FAIL
16,900,1119.0581936148892,0.1340412865531645,FAIL
16,1000,1243.3979929054324,0.12063715789784805,FAIL
17,100,103.66289800408407,1.4469979412893739,FAIL
17,200,207.32579600816814,0.7234989706446869,FAIL
17,300,310.9886940122522,0.48233264709645796,FAIL
17,400,414.6515920163363,0.36174948532234347,FAIL
17,500,518.3144900204204,0.28939958825787476,FAIL
17,600,621.9773880245044,0.24116632354822898,FAIL
17,700,725.6402860285885,0.20671399161276768,FAIL
17,800,829.3031840326726,0.18087474266117173,FAIL
17,900,932.9660820367567,0.16077754903215266,FAIL
17,1000,1036.6289800408408,0.14469979412893738,FAIL
18,100,87.32781513958592,1.7176657833502194,FAIL
18,200,174.65563027917185,0.8588328916751097,FAIL
18,300,261.9834454187578,0.5725552611167397,FAIL
18,400,349.3112605583437,0.42941644583755484,FAIL
18,500,436.6390756979296,0.34353315667004386,FAIL
18,600,523.9668908375156,0.28627763055836986,FAIL
18,700,611.2947059771014,0.24538082619288848,FAIL
18,800,698.6225211166874,0.21470822291877742,FAIL
18,900,785.9503362562733,0.1908517537055799,FAIL
18,1000,873.2781513958593,0.17176657833502193,FAIL
19,100,74.25219680624946,2.0201422510286617,PASS
19,200,148.50439361249892,1.0100711255143309,FAIL
19,300,222.75659041874837,0.6733807503428872,FAIL
19,400,297.00878722499783,0.5050355627571654,FAIL
19,500,371.2609840312473,0.40402845020573236,FAIL
19,600,445.51318083749675,0.3366903751714436,FAIL
19,700,519.7653776437462,0.2885917501469517,FAIL
19,800,594.0175744499957,0.2525177813785827,FAIL
19,900,668.2697712562451,0.22446025011429577,FAIL
19,1000,742.5219680624946,0.20201422510286618,FAIL
20,100,63.66197723675814,2.356194490192345,PASS
20,200,127.32395447351628,1.1780972450961724,FAIL
20,300,190.98593171027443,0.7853981633974482,FAIL
20,400,254.64790894703256,0.5890486225480862,FAIL
20,500,318.3098861837907,0.47123889803846897,FAIL
20,600,381.97186342054886,0.3926990816987241,FAIL
